source,target,type
B004XJNQXW,B00CDGR29G,type1
B004XJNQXW,B008AMKZUU,type1
B004XJNQXW,B0080GV0Z0,type1
B000142C1A,B0002Z8HAI,type1
B000142C1A,B000L9YYTS,type1
B007JT7AIA,B007K449CE,type1
B007JT7AIA,B00AE07932,type1
B007JT7AIA,B007JT7ARQ,type1
B001DOA73C,B002ZTV9SG,type1
B00GTBZXA6,B00HNKRWII,type1
B00GTBZXA6,B00GTC0DFK,type1
B00GTBZXA6,B00GTC03AU,type1
B00GTBZXA6,B00HSNWZFU,type1
B00H93NJLS,B00IT1HKV4,type1
B007RTR8UC,B007RTR8UW,type1
B007RTR8UC,B007RTR8UM,type1
B007RTR8UC,B00AWLB9I4,type1
B007RTR8UC,B007RTR9E2,type1
B007RTR8UC,B007RTR9FQ,type1
B007RTR8UC,B00AE078TM,type1
B00AAIOP44,B00AO4E9E0,type1
B00AAIOP44,B00AE078TM,type1
B000052YOL,B00005NAOD,type1
B00AHF1GK6,B00AHF1GTM,type1
B000VDUOFM,B002WTC38O,type1
B0089JVDPK,B00AO4EMKQ,type1
B0000536P3,B00008ZPG9,type1
B000PQDKU6,B000ZV0D9W,type1
B00EHWP67E,B00HD7SCLM,type1
B0072XT8BA,B007A592HU,type1
B00GTBZWPW,B00GTBZXA6,type1
B0000UTUVU,B0000UTUW4,type1
B008VSYO5A,B009VGNYFM,type1
B00GTBZHCA,B00HSNWXVQ,type1
B00GTBZHCA,B00GTBZI6A,type1
B0068G8DTA,B006RFZ66K,type1
B006L6AA8Y,B00GJ7WV8M,type1
B005OZF1S2,B005OZJYUS,type1
B00JJVG6HC,B00KAL5JAU,type1
B007JT7AEY,B00AE07CTI,type1
B007JT7AEY,B007JT7AGC,type1
B007JT7AEY,B007K449EC,type1
B007JT7AEY,B00AE07932,type1
B007JT7AEY,B007JT7ARQ,type1
B00HJD8NLY,B00KHGIK54,type1
B00GTC1JHQ,B00GTC1JVM,type1
B001S261Q6,B003GDK6F2,type1
B003ILUQPM,B004XJNQXW,type1
B003ILUQPM,B00CDGR29G,type1
B003ILUQPM,B0080GV0Z0,type1
B003ILUQPM,B006OMHR1S,type1
B003ILUQPM,B005VX8S4G,type1
B008AMKZUU,B00B868SK4,type1
B001U0ONNY,B001U0OQN6,type1
B004XA81ZE,B008O4YM4Y,type1
B001B7GJ2E,B006Z96OI2,type1
B00HSNWXTI,B00HSNWXZM,type1
B00A0IWRT4,B00AWLB9I4,type1
B00A0IWRT4,B00A0IWRUI,type1
B00A0IWRT4,B00A0IWRU8,type1
B00A0IWRT4,B00A0IWSN4,type1
B00A0IWRT4,B00ALV8EL0,type1
B002LFLPEC,B004BCT7G6,type1
B004B3YC9M,B007TLJP2W,type1
B00GTC0E1I,B00GTC0IY6,type1
B004J6WCBQ,B006FRS9O6,type1
B00GYB1AQM,B00GYB1ECW,type1
B005FJQQMC,B00A6O1AP4,type1
B005FJQQMC,B007RT19V6,type1
B005FJQQMC,B006U95N34,type1
B005FJQQMC,B00631JA8S,type1
B00KHGIK54,B00KQBR9FM,type1
B0067F28ZW,B0067F8BBM,type1
B009FKNGGQ,B009FKNGRA,type1
B00HNKRWII,B00HNKRWX8,type1
B007RTR8TS,B007RTR8UW,type1
B007RTR8TS,B007RTR8UM,type1
B007RTR8TS,B007RTR8UC,type1
B007RTR9DS,B007RTR9G0,type1
B0018BTA2Y,B0027VCNGO,type1
B0018BTA2Y,B007U90J5U,type1
B009RNUH7M,B00B33Y2JI,type1
B00147FGJ8,B002X9XV48,type1
B000RYSXWG,B005F4BH8A,type1
B002TSA916,B008VSYO5A,type1
B002TSA916,B009VGNYFM,type1
B00HSNWXYI,B00HSNWXZM,type1
B007JT7AGC,B007JT7AIA,type1
B007JT7AGC,B00AE07CTI,type1
B007JT7AGC,B007K449EC,type1
B007JT7AGC,B007K449CE,type1
B007JT7AGC,B00AE07932,type1
B007JT7AGC,B007JT7ARQ,type1
B0009EILKS,B006RFZ66K,type1
B0009EILKS,B0068G8DTA,type1
B007RTR8T8,B007RTR8UW,type1
B007RTR8T8,B007RTR8UC,type1
B007RTR8T8,B007RTR9E2,type1
B007RTR8T8,B00AE078TM,type1
B00GLS58SO,B00GLS593S,type1
B007K449EC,B00AE07CTI,type1
